Author,Title,Citation,Place(s) of publication ,Publisher/Printer,Year of Publications,Date of Travel: Begin ,Date of Travel: End,Calendar Conversion Dates,Longitude,Latitude,Place Described ,Place (Modern Name),Description,Pages,,,,,,,,,,,,,,,,,,,,
Lady Mary Wortley Montague,"Letters of the Right Honourable Lady M�y W�y M�e Written during Her Travels in Europe, Asia and Africa to Persons of Distinction, Men of Letters, &c. in Different Parts of Europe",,London,Printed for Thomas Martin,1790,,1 April O.S. 1717,4/12/1717,23.3219,42.6977,Sophia,"Sophia, Bulgaria","""After four days journey from this place over the mountains, we came to Sophia, situated in a large beautiful plain on the river Isca, and surrounded with distant mountains. 'Tis hardly possible to see a more agreeable landscape. The city itself is very large, and extremely populous. Here are hot baths, very famous for their medicinal virtues.""",Let. XXV.,,,,,,,,,,,,,,,,,,,,
Lady Mary Wortley Montague,"Letters of the Right Honourable Lady M�y W�y M�e Written during Her Travels in Europe, Asia and Africa to Persons of Distinction, Men of Letters, &c. in Different Parts of Europe",,London,Printed for Thomas Martin,1790,,1 April O.S. 1717,4/12/1717,24.7453,42.1354,Philippopolis,"Plovdiv, Bulgaria","""After four days journey from this place over the mountains, we came to Sophia, situated in a large beautiful plain on the river Isca, and surrounded with distant mountains. 'Tis hardly possible to see a more agreeable landscape. The city itself is very large, and extremely populous. Here are hot baths, very famous for their medicinal virtues.""",Let. XXV.,,,,,,,,,,,,,,,,,,,,
Lady Mary Wortley Montague,"Letters of the Right Honourable Lady M�y W�y M�e Written during Her Travels in Europe, Asia and Africa to Persons of Distinction, Men of Letters, &c. in Different Parts of Europe",,London,Printed for Thomas Martin,1790,,1 April O.S. 1717,4/12/1717,23.3219,42.6977,Sophia,"Sophia, Bulgaria","""IN one of these covered waggons (sic), I went to the bagnio about ten o'clock. It was already full of women. It is built of stone, in the shape of a dome, with no windows but in the roof, which gives light enough. There were five of these domes joined together, the outmost being less than the rest, and serving only as a hall, where the portress stood at the door. Ladies of quality generally give this woman a crown or ten shillings; and I did not forget that ceremony. The next room is a very large one paved with marble, and all round it are two raised sofas of marble, one above another. There were four fountains of cold water in this room, falling first into marble basons (sic), and then running on the floor in little channels made for that purpose, which carried the streams into the next room, something less than this, with the same sort of marble sofas, but so hot with steams of sulphur proceeding from the baths joining to it, 'twas impossible to stay there with one's cloaths (sic) on. The two other domes were the hot baths, one of which had cocks of cold water turning into it, to temper it to what degree of warmth the bathers pleased to have.""",Let. XXV.,,,,,,,,,,,,,,,,,,,,
Lady Mary Wortley Montague,"Letters of the Right Honourable Lady M�y W�y M�e Written during Her Travels in Europe, Asia and Africa to Persons of Distinction, Men of Letters, &c. in Different Parts of Europe",,London,Printed for Thomas Martin,1790,,1 April O.S. 1717,4/12/1717,26.5557,41.6771,Adrianople,"Edirne, Turkey","""I AM at this present moment writing in a house situated on the banks of the Hebrus, which runs under my chamber window. My garden is full of all cypress trees, upon the branches of which several couple of true turtles are saying soft things to one another from morning till night. ... The summer is already far advanced in this part of the world; and, for some miles round Adrianople, the whole ground is laid out in gardens, and the banks of the rivers are set with rows of fruit-trees, under which all the most considerable Turks divert themselves every evening, not with walking, that is not one of their pleasures; but a set party of them chuse out a green spot, where the shade is very thick, and, there they spread a carpet, on which they sit drinking their coffee, and are generally attended by some slave with a fine voice, or that plays on some instrument.",Let. XXX.,,,,,,,,,,,,,,,,,,,,
Lady Mary Wortley Montague,"Letters of the Right Honourable Lady M�y W�y M�e Written during Her Travels in Europe, Asia and Africa to Persons of Distinction, Men of Letters, &c. in Different Parts of Europe",,London,Printed for Thomas Martin,1790,,17 May O.S. 1718,5/28/1718,26.5557,41.6771,Adrianople ,"Edirne, Turkey",""" The town is said to be eight miles in compass, I suppose they reckon in the gardens. There are some good houses in it, I mean large ones; for the architecture of their palaces never makes any great shew. It is now very full of people; but they are most of them such as follow the court, or camp; and when they are removed, I am told, 'tis no populous city. The river Maritza (anciently the Hebrus) on which it is situated, is dried up every summer, which contributes very much to make it unwholesome. It is now a very pleasant stream. There are two noble bridges built over it. ... But the pavement is kept much neater; and the shops are all so clean, they seem just new painted. ... This copious subject has drawn me from my description of the exchange, founded by Ali Bassa, whose name it bears. Near it is the sherski, a street of a mile in length, full of shops of all kind of fine merchandise, but excessive dear, nothing being made here. It is covered on the top with boards, to keep out the rain, that merchants may meet conveniently in all weathers.""",Let. XXXIV.,,,,,,,,,,,,,,,,,,,,
Lady Mary Wortley Montague,"Letters of the Right Honourable Lady M�y W�y M�e Written during Her Travels in Europe, Asia and Africa to Persons of Distinction, Men of Letters, &c. in Different Parts of Europe",,London,Printed for Thomas Martin,1790,,29 May O.S. 1718,6/9/1718,28.9784,41.0082,Constantinople,Istanbul,"""WE arrived the next day at Constantinople; but I can yet tell you very little of it, all my time having been taken up with receiving visits, which are, at least, a very good entertainment to the eyes, the young women being all beauties, and their beauty highly improved by the high taste of their dress. Our palace is in Pera, which is no more a suburb of Constantinople, than Westminster is a suburb to London. All the ambassadors are lodged very near each other. One part of our house shews us the port, the city, and the seraglio, and the distant hills of Asia; perhaps, all together, the most beautiful prospect in the world.""",Let. XXXV.,,,,,,,,,,,,,,,,,,,,
Lady Mary Wortley Montague,"Letters of the Right Honourable Lady M�y W�y M�e Written during Her Travels in Europe, Asia and Africa to Persons of Distinction, Men of Letters, &c. in Different Parts of Europe",,London,Printed for Thomas Martin,1790,,17 June O.S. 1718,6/28/1718,28.95138,41.19431,Belgrade Village ,Belgrade Forest,"""The heats of Constantinople have driven me to this place, which perfectly answers the description of the Elysian fields. I am in the middle of a wood, consisting chiefly of fruit-trees, watered by a vast number of fountains, famous for the excellency of their water, and divided into many shady walks, upon short grass, that seems to me artificial, but, I am assured, is the pure work of nature�within view of the Black sea, from whence we perpetually enjoy the refreshment of cool breezes, that make us insensible of the heat of the summer. The village is only inhabited by the richest amongst the Christians, who meet every night at a fountain, forty paces from my house, to sing and dance.""",Let. XXXVI.,,,,,,,,,,,,,,,,,,,,
Lady Mary Wortley Montague,"Letters of the Right Honourable Lady M�y W�y M�e Written during Her Travels in Europe, Asia and Africa to Persons of Distinction, Men of Letters, &c. in Different Parts of Europe",,London,Printed for Thomas Martin,1790,,? 16 March O.S. 1718,4/5/1718,28.9775,41.036944,Pera of Constantinople,"Beyo_lu, Istanbul, Turkey",""" The Asian side is covered with fruit-trees, villages, and the most delightful landskips (sic) in nature; on the European, stands Constantinople, situated on seven hills.�The unequal heights make it seem as large again as it is, (though one of the largest cities in the world) shewing an agreeable mixture of gardens, pine and cypress-trees, palaces, mosques, and public buildings, raised one above another, with as much beauty and appearance of symmetry, as your ladyship ever saw in a cabinet, adorned by the most skilful hands, where jars shew themselves above jars, mixed with canisters, babies and candlesticks. ... It is on a point of land running into the sea; a palace of prodigious extent, but very irregular. The gardens take in a large compass of ground, full of high cypress-trees, which is all I know of them. The buildings are all of white stone, leaded on the top, with gilded turrets and spires, which look very magnificent; and, indeed, I believe there is no Christian-king's palace half so large. There are six large courts in it, all built round, and set with trees, having galleries of stone; one of these for the guard, another for the slaves, another for the officers of the kitchen, another for the stables, the fifth for the divan, and the sixth for the apartment destined for audiences. On the ladies side, there are, at least, as many more, with distinct courts belonging to their eunuchs and attendants, their kitchens, &c.""",Let. XLI.,,,,,,,,,,,,,,,,,,,,
Lady Mary Wortley Montague,"Letters of the Right Honourable Lady M�y W�y M�e Written during Her Travels in Europe, Asia and Africa to Persons of Distinction, Men of Letters, &c. in Different Parts of Europe",,London,Printed for Thomas Martin,1790,,18 May O.S. 1718,5/29/1718,39.025877,41.010318,Calcedonia ,Istanbul (Asia side),""" 'Tis still a large town, and has several mosques in it. The Christians still call it Calcedonia, and the Turks give it a name I forgot, but which is only a corruption of the same word.""",Let. XLIII.,,,,,,,,,,,,,,,,,,,,
Lady Mary Wortley Montague,"Letters of the Right Honourable Lady M�y W�y M�e Written during Her Travels in Europe, Asia and Africa to Persons of Distinction, Men of Letters, &c. in Different Parts of Europe",,London,,1790,6 June O.S. 1718,31 July O.S. 1718,8/11/1718,36.83333,39.7,"Cape Janizary, promontory of Sigaeum, about a league past the burial place of Hecuba",Cape Gallipoli? Kilitbahir? (Mt. Kaz-ish??),"""Not many leagues sail from hence, I saw the point of land where poor old Hecuba was buried, and about a league from that place is Cape Janizary, the famous promontory of Sigaeum, where we anchored. My curiosity supplied me with strength to climb to the top of it, to see the place where Achilles was buried, and where Alexander ran naked round his tomb, in honour of him, which, no doubt, was a great comfort to his ghost. I saw there the ruins of a very large city, and found a stone, on which Mr W��y plainly distinguished the words of Sigaen Polin. ... WE saw very plainly from this promontory, the river Simois rolling from mount Ida, and running through a very spacious valley. It is now a considerable river, and is called Simores, it is joined in the vale by the Scamander, which appeared a small stream half choaked (sic) with mud, but is perhaps large in the winter. This was Xanthus amongst the gods, as Homer tells us; and 'tis by that heavenly name, the nymph Oenone invokes it, in her epistle to Paris. The Trojan virgins used to offer their first favours to it, by the name of Scamander, till the adventure, which Monsieur de la Fontaine has told so agreeably, abolish'd that heathenish ceremony. When the stream is mingled with the Simois, they run together to the sea.""",Let. XLIV.,,,,,,,,,,,,,,,,,,,,
